clave,es
PERSONAJE_ROPA_BURDEOS,Burdeos
PERSONAJE_TRASFONDO,TRASFONDO
PERSONAJE_ANTES_DE_SIGA,Antes de SIGA
PERSONAJE_NOTA_TRASFONDO,"El trasfondo podrá matizar diálogos, recuerdos, objetos y sueños; no concede una solución automática de expediente."
PERSONAJE_RESUMEN,Etiquetas narrativas: %s\nComplexión: %s · altura %.2f · hombros %.2f · cintura %.2f
PERSONAJE_CANCELAR,Cancelar
PERSONAJE_GUARDAR,Guardar ficha
PERSONAJE_ERROR_GUARDAR,No se pudo guardar la ficha.
PERSONAJE_ERROR_JORNADA,"Ficha guardada, pero no se pudo iniciar la jornada."
PERSONAJE_GUARDADA,Ficha guardada.
TRASFONDO_AUXILIAR,Auxiliar administrativo
TRASFONDO_AUXILIAR_DESCRIPCION,"Años de ventanillas, fotocopias y contratos temporales. Sabes cómo suena una oficina antes de saber quién manda en ella."
TRASFONDO_ALMACEN,Almacén y fábrica
TRASFONDO_ALMACEN_DESCRIPCION,"Turnos, inventarios, muelles de carga y encargados con prisa. Estás acostumbrado a leer un espacio por cómo trabaja la gente dentro."
TRASFONDO_INFORMATICA,Informática autodidacta
TRASFONDO_INFORMATICA_DESCRIPCION,"Aprendiste con manuales, disquetes prestados y ordenadores que nadie quería tocar. Entiendes sistemas por insistencia, no por título."
TRASFONDO_ESTUDIANTE,Estudiante nocturno
TRASFONDO_ESTUDIANTE_DESCRIPCION,"Trabajas de día y estudias cuando puedes. Tienes práctica reuniendo fragmentos, tomando notas y funcionando con horarios poco razonables."
TRASFONDO_CUIDADOS,Cuidados familiares
TRASFONDO_CUIDADOS_DESCRIPCION,"Antes de SIGA ya organizabas citas, compras, papeles y días alrededor de otra persona. Conoces la logística invisible de sostener una casa."
TRASFONDO_RECIEN_LLEGADO,Recién llegado a la ciudad
TRASFONDO_RECIEN_LLEGADO_DESCRIPCION,"Todavía estás aprendiendo barrios, líneas, horarios y costumbres. Miras lugares cotidianos con la atención de quien aún no los da por hechos."

CORCHO_TITULO,Corcho de conceptos
CORCHO_AYUDA_RATON,Arrastra una ficha para moverla · Pulsa dos fichas para poner o quitar hilo
CORCHO_AYUDA_MANDO,Flechas: elegir · Intro/A: hilo · M/X: coger y soltar · Esc/B: cerrar
CORCHO_VACIO,Aún no hay fichas. Los conceptos que descubras en el archivo acabarán aquí.
CORCHO_CERRAR,Cerrar
CORCHO_DETALLE_TITULO,Ficha seleccionada
CORCHO_DETALLE_VACIO,Enfoca o pulsa una ficha para consultar lo que ya sabes de ese concepto.
CORCHO_DETALLE_SIN_RESUMEN,No consta información adicional sobre este concepto.
CORCHO_DATO_OCULTO,[dato aún no descubierto]
MENU_GLOBAL_TITULO,Menú
MENU_GLOBAL_CONTINUAR,Continuar
MENU_GLOBAL_OPCIONES,Opciones
MENU_GLOBAL_VOLVER,Volver
MENU_GLOBAL_SALIR,Salir al escritorio
MENU_GLOBAL_VOLUMEN,Volumen
MENU_GLOBAL_REDUCCION_MOVIMIENTO,Reducir movimiento
MENU_GLOBAL_SUBTITULO,Preferencias comunes de archivo, casa y sueño.
MENU_GLOBAL_SENSIBILIDAD_RATON,Sensibilidad de ratón
MENU_GLOBAL_SENSIBILIDAD_MANDO,Sensibilidad de stick derecho
MENU_GLOBAL_INVERTIR_CAMARA_Y,Invertir eje Y de cámara
GATO_SIGA_EXPLORAR,Quedan documentos por revisar.
GATO_SIGA_LISTO,Ya puede imputar responsabilidad.
GATO_SIGA_CERRADO,Ese expediente ya está cerrado.
GATO_SIGA_DESCUBRIMIENTO,Ha aparecido una pista nueva.
GATO_SIGA_COMBINACION_FALLIDA,Esos documentos no justifican una relación.
GATO_SIGA_COMBINACION_REPETIDA,Esa relación ya constaba.
RESUMEN_PLANTILLA,Resumen de plantilla
EVALUACION_APP_TITULO,Evaluaciones
EVALUACION_CABECERA,SIGA-98 · EVALUACIÓN DE DESEMPEÑO
EVALUACION_AYUDA,Historial de vidas laborales cerradas. Seleccione una para consultar el informe archivado.
EVALUACION_FILA,Vida %d · productividad %s · precipitación %s
EVALUACION_VIDA,VIDA LABORAL %d
EVALUACION_MOTIVO,Cierre administrativo: %s
EVALUACION_MOTIVO_REASIGNACION,reasignación
EVALUACION_MOTIVO_FINAL,final narrativo
EVALUACION_MOTIVO_OTRO,otra causa registrada
EVALUACION_CATEGORIA_PRODUCTIVIDAD,Productividad
EVALUACION_CATEGORIA_PRECIPITACION,Precipitación
EVALUACION_CATEGORIA_GATO,Cuidado del gato
EVALUACION_CATEGORIA_LIQUIDEZ,Liquidez
EVALUACION_CATEGORIA_SUENO,Exploración onírica
EVALUACION_CATEGORIA_DEPENDENCIA_DINERO,Dependencia económica
EVALUACION_RANGO_BAJA,BAJA
EVALUACION_RANGO_MEDIA,MEDIA
EVALUACION_RANGO_ALTA,ALTA
EVALUACION_RANGO_SIN_DATOS,SIN DATOS
EVALUACION_VACIO,Aún no constan vidas laborales evaluadas.
EVALUACION_VACIO_AYUDA,El informe aparece cuando una vida laboral queda cerrada.
EVALUACION_SIN_SELECCION,SIN INFORME ARCHIVADO
EVALUACION_NOTA_COMPARACION,Las categorías son independientes. SIGA no calcula una nota total ni declara una vida correcta o incorrecta.
EVALUACION_REMATE_ROTULO,INFORME ARCHIVADO · VIDA {vuelta}
EVALUACION_REMATE_PRODUCTIVA_PRECIPITADA,Productividad alta y precipitación alta. SIGA archiva ambos datos sin compensarlos.
EVALUACION_REMATE_CUIDADOS_LIQUIDEZ,Cuidado registrado alto con liquidez baja. Las categorías permanecen separadas.
EVALUACION_REMATE_SUENO_PRODUCTIVIDAD,Exploración onírica alta con productividad baja. Ninguna categoría sustituye a la otra.
EVALUACION_REMATE_DEPENDENCIA_LIQUIDEZ,Liquidez alta con dependencia económica alta. SIGA archiva la contradicción sin resolverla.
EVALUACION_REMATE_NEUTRA,La evaluación queda archivada por categorías independientes. No consta una calificación total.
BLOC_NOTAS_TITULO,Bloc de notas
BLOC_NOTAS_AYUDA,Anotaciones locales de trabajo. Se guardan con el estado de esta partida.
BLOC_NOTAS_PLACEHOLDER,Escriba aquí sus notas...
BLOC_NOTAS_ESTADO,caracteres · guardado local al persistir la partida
CALCULADORA_TITULO,Calculadora
CALCULADORA_AYUDA,"Operaciones disponibles: +, -, *, / y paréntesis. Pulse Intro para calcular."
CALCULADORA_PLACEHOLDER,Ej.: (1250 + 340) / 2
CALCULADORA_CALCULAR,Calcular
CALCULADORA_BORRAR,Borrar
CALCULADORA_RESULTADO_VACIO,Resultado:
CALCULADORA_ENTRADA_NO_VALIDA,Entrada no válida
CALCULADORA_EXPRESION_NO_VALIDA,Expresión no válida
CALCULADORA_NO_SE_PUDO,No se pudo calcular
CALCULADORA_NO_NUMERICO,Resultado no numérico
IMPREVISTO_BOMBILLA,Bombilla fundida
IMPREVISTO_CALENTADOR,Calentador averiado
IMPREVISTO_ELECTRODOMESTICO,Electrodoméstico roto
IMPREVISTO_GRIFO,Grifo que no deja de gotear
IMPREVISTO_MULTA,Multa de transporte
IMPREVISTO_PERSIANA,Persiana atascada
IMPREVISTO_RECIBO,Recibo inesperado
ONBOARDING_OBJETIVO_INICIAL,OBJETIVO INICIAL
ONBOARDING_PUESTO_SIGA,PUESTO 4-B · SIGA-98
ONBOARDING_ACCION_SIGA,Acérquese al terminal verde para abrir su primer expediente.
IDEOLOGIA_924_CUNADO_COLECTIVO,"Bueno, así al menos queda claro que esto no era cosa de una sola mesa."
IDEOLOGIA_924_CUNADO_NEGOCIADO,"Hablarlo antes de que se enquiste tampoco es mala manera de cerrar una mañana."
IDEOLOGIA_924_CUNADO_PROCEDIMIENTO,"Otra revisión. Si sirve para dejar claro quién hace qué la próxima vez, algo es algo."
VISOR_DECISION_924_AYUDA,"El expediente ya está firmado. Elija cómo gestionar sus consecuencias; no cambia el veredicto ni las pistas."
VISOR_DECISION_924_BLOQUEADA,Disponible después de firmar este expediente.
VISOR_DECISION_924_CONCILIACION,Buscar una salida pactada entre las partes internas
VISOR_DECISION_924_REGISTRADA,Criterio registrado: %s. El expediente conserva los mismos hechos y veredicto.
VISOR_DECISION_924_RESPONSABILIDAD,Abrir una revisión conjunta de responsabilidades
VISOR_DECISION_924_REVISION,Encargar una revisión formal del procedimiento
VISOR_DECISION_924_TITULO,CONSECUENCIAS DEL CIERRE
VISOR_PRONOSTICO_ABANDONAR,Abandonar
VISOR_PRONOSTICO_ARRASTRA,¿Se arrastrará a mañana?
VISOR_PRONOSTICO_BLOQUEADO,Pronóstico cerrado: el expediente ya ha sido expuesto.
VISOR_PRONOSTICO_CIERRE,¿Se cerrará hoy?
VISOR_PRONOSTICO_CONFIRMAR,Confirmar pronóstico
VISOR_PRONOSTICO_DISPONIBLE,Opcional · registre una apuesta antes de leer.
VISOR_PRONOSTICO_DOCUMENTO,Documento clave
VISOR_PRONOSTICO_DUELO,¿Habrá careo?
VISOR_PRONOSTICO_ESTADO_ABANDONADO,abandonado
VISOR_PRONOSTICO_ESTADO_ABIERTO,abierto
VISOR_PRONOSTICO_ESTADO_ACERTADO,acertado
VISOR_PRONOSTICO_ESTADO_FALLADO,fallado
VISOR_PRONOSTICO_ESTADO_SIN_RESOLVER,sin resolver
VISOR_PRONOSTICO_HISTORIAL,Historial
VISOR_PRONOSTICO_HISTORIAL_AYUDA,Registro personal de apuestas de auditoría. Consultarlo no modifica la partida.
VISOR_PRONOSTICO_HISTORIAL_FILA,%s · %s · %s · %s
VISOR_PRONOSTICO_HISTORIAL_TITULO,HISTORIAL DE PRONÓSTICOS
VISOR_PRONOSTICO_HISTORIAL_VACIO,Aún no hay pronósticos registrados.
VISOR_PRONOSTICO_NO,No
VISOR_PRONOSTICO_PRECIPITADA,¿La acusación será precipitada?
VISOR_PRONOSTICO_RESUMEN,%s · %s · %s
VISOR_PRONOSTICO_SI,Sí
VISOR_PRONOSTICO_TAROT,Arcano de tarot
VISOR_PRONOSTICO_TITULO,PRONÓSTICO DE AUDITORÍA
CONSOLA_SERVICIO_TITULO,BIT 98 · MANUAL DE SERVICIO
CONSOLA_SERVICIO_PLACEHOLDER,ayuda · clima lluvia · diagnostico
CONSOLA_SERVICIO_INICIO,MANUAL DE SERVICIO BIT 98 · escribe ayuda
CONSOLA_SERVICIO_AYUDA_DESC,lista los comandos del manual de servicio
CONSOLA_SERVICIO_CLIMA_DESC,clima auto|despejado|nublado|lluvia|niebla|nieve
CONSOLA_SERVICIO_DESATASCAR_DESC,vuelve a la entrada del espacio actual
CONSOLA_SERVICIO_PORTATIL_DESC,abre la Portátil Color 98
CONSOLA_SERVICIO_DIAGNOSTICO_DESC,muestra semilla/día/vuelta/versión para reportar bugs
CONSOLA_SERVICIO_LIMPIAR_DESC,borra el registro
CONSOLA_SERVICIO_DESCONOCIDO,Ese comando no figura en el manual de servicio.
CONSOLA_SERVICIO_USO_CLIMA,Uso: clima %s
CONSOLA_SERVICIO_CLIMA_OK,Clima: %s
CONSOLA_SERVICIO_DESATASCADO,De vuelta en la entrada
CONSOLA_SERVICIO_PORTATIL_SOLO_CASA,La portátil solo puede abrirse cuando ya estás en casa.
CONSOLA_SERVICIO_PORTATIL_AUSENTE,No encuentro la portátil en esta escena.
CONSOLA_SERVICIO_PORTATIL_ABRIENDO,Abriendo la portátil
CONSOLA_SERVICIO_SOLO_PARTIDA,Solo funciona dentro de una partida.
MENU_GLOBAL_HISTORIAL_DECISIONES,Historial de decisiones
MENU_GLOBAL_HISTORIAL_SUBTITULO,"El archivo conserva cuándo decidió y cuándo dejó una decisión pendiente."
MENU_GLOBAL_HISTORIAL_RESUMEN,"%d aplazamientos registrados · %d decisiones con reiteración."
MENU_GLOBAL_HISTORIAL_PRESION_0,No constan demoras reiteradas.
MENU_GLOBAL_HISTORIAL_PRESION_1,El archivo empieza a acumular demoras reiteradas.
MENU_GLOBAL_HISTORIAL_PRESION_2,Las demoras ya dejan una huella visible en el expediente.
MENU_GLOBAL_HISTORIAL_VACIO,Todavía no hay decisiones registradas.
MENU_GLOBAL_HISTORIAL_LEGADO,"Registro anterior a este sistema; el contexto original no está disponible."
MENU_GLOBAL_HISTORIAL_CONTEXTO,"Día %d · %s"
MENU_GLOBAL_HISTORIAL_POSPUESTA,"%s · aplazada (%d)\n%s"
MENU_GLOBAL_HISTORIAL_RESUELTA,"%s · decidida\n%s\n%s"
VISOR_DETALLE_961_OBSERVACION,Observación adicional · %s
VISOR_DETALLE_961_FACTURA1_PERFORACIONES,En el borde inferior se distinguen dos perforaciones de archivador ligeramente desalineadas; parecen de una carpeta anterior y no modifican lo escrito.
VISOR_DETALLE_961_MEMO1_CINTA_FECHA,La fecha mecanografiada acusa una cinta algo más seca que el cuerpo del memorándum; la diferencia material no basta para fechar una segunda intervención.
VISOR_DETALLE_961_MEMO1_COTEJO_MARGEN,La nota de cotejo está incorporada al cuerpo digitalizado; el expediente no identifica quién la añadió.
VISOR_DETALLE_961_EMPLEADO1_LAPIZ_PESTANA,El número de empleado está repasado a lápiz azul en la pestaña exterior; la marca no añade ningún dato al contenido.
VISOR_DETALLE_961_ACTA1_PAPEL_COTEJO,"Puesta junto a otro folio, el papel coincide en gramaje y corte con el stock común de oficina; la coincidencia no identifica autor ni circuito."
VISOR_DETALLE_961_OFICIO2_CLIP_MARGEN,El margen izquierdo conserva el óxido tenue de un clip retirado; no hay texto oculto debajo.
VISOR_DETALLE_961_OFICIO2_ANEXO_FOLIO,"El oficio deja constancia de una prescripción médica adjunta; el archivo conserva el anexo como metadato, no su contenido clínico."
VISOR_DETALLE_961_CIRCULAR2_SELLO_FECHA,"El sello de distribución pisa parcialmente el año impreso, pero ambos siguen siendo legibles; no cambia la cronología consignada."
VISOR_DETALLE_961_MEMO3_TINTA_SELLO,La tinta del sello de recibido tiene un borde más saturado que la del texto mecanografiado; es una diferencia de soporte, no una prueba de procedencia.
VISOR_DETALLE_961_FACTURA4_HALO_SELLO,El sello amarillo deja un halo irregular en el reverso; el color ya visible en el documento no permite atribuirlo a una oficina concreta.
JUICIO_JUNGIANO_MOMENTUM,MOMENTUM
JUICIO_JUNGIANO_FINISHER,FINISHER
JUICIO_JUNGIANO_SUPER_FINISHER,SUPER FINISHER
JUICIO_JUNGIANO_FINISHER_TOOLTIP,Disponible al alcanzar el umbral de momentum
JUICIO_RELIGION_COMPROMISO,COMPROMISO · cede la iniciativa
ULTIMO_RECURSO_AVISO,"Su última vida laboral se ha agotado. El cese todavía no está firmado."
ULTIMO_RECURSO_CANJEAR,Canjear por 1 vida
ULTIMO_RECURSO_CARTA,%s — %s
ULTIMO_RECURSO_CESE,Firmar el cese
ULTIMO_RECURSO_ESTADO_GASTADA,Gastada
ULTIMO_RECURSO_ESTADO_RECOGIDA,Recogida
ULTIMO_RECURSO_ESTADO_SELLADA,Sellada
ULTIMO_RECURSO_EXPLICACION,"Puede canjear una carta recogida y no gastada para recuperar exactamente una vida, o aceptar el cese y comenzar otra vida laboral."
ULTIMO_RECURSO_TAROT_AYUDA,"El canje es irreversible: la carta queda gastada y esta vuelta ya no puede cumplir El Mundo."
ULTIMO_RECURSO_TAROT_TITULO,Tarot — último recurso
ULTIMO_RECURSO_TITULO,CESE PENDIENTE
ULTIMO_RECURSO_VER_TAROT,Ver mi tarot
ULTIMO_RECURSO_VOLVER,Volver al aviso
AUDITORIAS_ACCION_SOBRANTE,"Terminar la jornada con una acción sin gastar"
AUDITORIAS_ACCION_SOBRANTE_DESC,"Al fichar la salida debe quedar al menos una acción disponible. Fallar el reto no bloquea la partida."
AUDITORIAS_APP_TITULO,"Condiciones de auditoría"
AUDITORIAS_AYUDA_CONSULTA,"Estado de la condición opcional aceptada para esta vida laboral. Esta pantalla no modifica el reto."
AUDITORIAS_AYUDA_SELECCION,"Opcional. Las condiciones elegidas se fijan al guardar esta ficha y no pueden cambiarse durante la vida laboral."
AUDITORIAS_CABECERA,"Condiciones extraordinarias"
AUDITORIAS_ESTADO_ACTIVA,"Estado: activa"
AUDITORIAS_ESTADO_COMPLETADA,"Estado: completada"
AUDITORIAS_ESTADO_FALLIDA,"Estado: fallida"
AUDITORIAS_ESTADO_INACTIVA,"Estado: no seleccionada"
AUDITORIAS_NUEVA_VIDA_TITULO,"NUEVA VIDA LABORAL"
AUDITORIAS_NUEVA_VIDA_AYUDA,"Antes de reincorporarse puede aceptar una condición opcional. Dejarla sin marcar inicia la vida normalmente."
AUDITORIAS_NUEVA_VIDA_CONTINUAR,"Comenzar vida laboral"
AUDITORIAS_GATO_DIARIO,"Atender al gato todos los días"
AUDITORIAS_GATO_DIARIO_DESC,"Al acostarse, el gato debe seguir presente y sin hambre acumulada. La primera jornada parte ya atendida; después hay que alimentarlo cada día antes de dormir."
AUDITORIAS_HISTORIAL_TITULO,"Historial de vidas laborales"
AUDITORIAS_HISTORIAL_AYUDA,"Registro descriptivo de condiciones ya cerradas. No es una puntuación y no concede recursos."
AUDITORIAS_HISTORIAL_VACIO,"Aún no hay vidas con condiciones cerradas."
AUDITORIAS_HISTORIAL_VIDA,"Vida %d · cierre: %s"
AUDITORIAS_HISTORIAL_LINEA,"• %s — %s"
AUDITORIAS_HISTORIAL_RESULTADO_COMPLETADA,"completada"
AUDITORIAS_HISTORIAL_RESULTADO_FALLIDA,"fallida"
AUDITORIAS_HISTORIAL_RESULTADO_PENDIENTE,"sin cierre"
AUDITORIAS_HISTORIAL_MOTIVO_REASIGNACION,"reasignación"
AUDITORIAS_HISTORIAL_MOTIVO_FINAL,"final narrativo"
AUDITORIAS_HISTORIAL_MOTIVO_OTRO,"otro cierre"
AUDITORIAS_SIN_RELEER,"No releer documentos durante una jornada"
AUDITORIAS_SIN_RELEER_DESC,"Abrir de nuevo un folio ya leído ese día falla el reto. Releer sigue siendo gratis y nunca bloquea la consulta del documento."
AUDITORIAS_SUENO_COMPLETO,"Completar cada sueño antes de despertar"
AUDITORIAS_SUENO_COMPLETO_DESC,"Cada noche debe terminar recorriendo la salida normal de su última escena. Agotar el tiempo o perder un combate onírico falla el reto, pero la partida continúa."
AUDITORIAS_FINAL_TITULO,"Condiciones extraordinarias de esta vida"
AUDITORIAS_FINAL_LINEA,"• %s — %s"
AUDITORIAS_FINAL_ESTADO_ACTIVA,"sigue vigente"
AUDITORIAS_FINAL_ESTADO_FALLIDA,"dejó de cumplirse"
AUDITORIAS_FINAL_ESTADO_COMPLETADA,"quedó completada al cerrar la vida"
AUDITORIAS_FINAL_ESTADO_PENDIENTE,"consta sin cierre"
